Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits
asadabbas88,https://github.com/asadabbas88,185593,2010-01,14,3
aamanatullah,https://github.com/aamanatullah,185228,2010-01,4,7
rizwany,https://github.com/rizwany,184817,2010-01,8,37
mshoaib,https://github.com/mshoaib,177894,2010-01,14,23
jvidonline,https://github.com/jvidonline,188126,2010-01,0,0
sarfraznawaz2005,https://github.com/sarfraznawaz2005,201788,2010-02,368,N/A
maamir,https://github.com/maamir,210528,2010-02,14,145
swaqas,https://github.com/swaqas,205942,2010-02,3,23
maktal,https://github.com/maktal,196411,2010-02,1,2
shahzadfatehali,https://github.com/shahzadfatehali,194379,2010-02,2,4
seosmmexperts,https://github.com/seosmmexperts,219632,2010-03,0,0
hamdan,https://github.com/hamdan,248775,2010-04,18,78
HeartDisk,https://github.com/HeartDisk,249968,2010-04,5,16
mobashirsayeed,https://github.com/mobashirsayeed,246725,2010-04,1,0
jawwadalam2002,https://github.com/jawwadalam2002,246739,2010-04,14,25
naeemparacha,https://github.com/naeemparacha,239285,2010-04,0,0
makramali,https://github.com/makramali,247080,2010-04,2,3
kadnan,https://github.com/kadnan,273196,2010-05,121,N/A
snkhan120,https://github.com/snkhan120,285439,2010-05,43,345
cgxsdream,https://github.com/cgxsdream,304614,2010-06,3,15
yourimagemaster,https://github.com/yourimagemaster,304543,2010-06,4,0
yousuftafhim,https://github.com/yousuftafhim,332683,2010-07,12,2
saadrehman,https://github.com/saadrehman,338472,2010-07,42,40
githubapitest,https://github.com/githubapitest,330565,2010-07,4,23
chuck59,https://github.com/chuck59,343308,2010-07,5,11
biznbyte,https://github.com/biznbyte,350260,2010-07,1,2
imranmukati,https://github.com/imranmukati,346870,2010-07,0,0
swm,https://github.com/swm,346904,2010-07,1,0
Aminulhaq,https://github.com/Aminulhaq,355029,2010-08,4,54
mohsin-ali,https://github.com/mohsin-ali,357275,2010-08,5,3
fahadali2008,https://github.com/fahadali2008,407273,2010-09,5,3
ahsanraza,https://github.com/ahsanraza,401594,2010-09,0,0
arfeen,https://github.com/arfeen,441804,2010-10,14,30
ozair-kafray,https://github.com/ozair-kafray,467306,2010-11,0,0
fafsoft,https://github.com/fafsoft,501851,2010-11,3,4
Shaz3e,https://github.com/Shaz3e,526602,2010-12,97,1752
moyed,https://github.com/moyed,518801,2010-12,19,88
musmanchaudhry,https://github.com/musmanchaudhry,542381,2010-12,1,0
yaseen,https://github.com/yaseen,535587,2010-12,0,0
zairabbas,https://github.com/zairabbas,572446,2011-01,5,1550
fursid,https://github.com/fursid,563015,2011-01,3,1
azo249,https://github.com/azo249,566030,2011-01,0,0
muneercreative,https://github.com/muneercreative,565975,2011-01,5,8
kashifhisam,https://github.com/kashifhisam,618660,2011-02,5,0
sheyzada2,https://github.com/sheyzada2,632223,2011-02,0,0
