Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits
itsaboutcode,https://github.com/itsaboutcode,204423,2010-02,112,384
yunas,https://github.com/yunas,213712,2010-03,22,250
mohsin917,https://github.com/mohsin917,225241,2010-03,2,10
ask4fahad,https://github.com/ask4fahad,227954,2010-03,0,0
asim-bashir-confiz,https://github.com/asim-bashir-confiz,213919,2010-03,0,0
d3velopers,https://github.com/d3velopers,219064,2010-03,0,0
alishahab,https://github.com/alishahab,259419,2010-04,1,0
heyyan,https://github.com/heyyan,245355,2010-04,15,81
aftabnabi,https://github.com/aftabnabi,261592,2010-05,26,230
alibilalaslam,https://github.com/alibilalaslam,277613,2010-05,0,0
e-irfan,https://github.com/e-irfan,286466,2010-05,1,0
hassana19,https://github.com/hassana19,266859,2010-05,3,6
syedmurtaza,https://github.com/syedmurtaza,272100,2010-05,12,34
aliimran,https://github.com/aliimran,309678,2010-06,1,0
asifhameed,https://github.com/asifhameed,317149,2010-06,6,28
aqeelashraf,https://github.com/aqeelashraf,316420,2010-06,2,0
mahhek,https://github.com/mahhek,342844,2010-07,17,1052
usmanahmad,https://github.com/usmanahmad,331592,2010-07,4,0
taimur38,https://github.com/taimur38,362296,2010-08,43,862
saqibsarwar,https://github.com/saqibsarwar,358233,2010-08,6,51
salmanaslam25,https://github.com/salmanaslam25,361774,2010-08,21,0
J-Gull,https://github.com/J-Gull,361874,2010-08,7,1
shahzadmasud,https://github.com/shahzadmasud,390286,2010-09,28,178
mhsnalm,https://github.com/mhsnalm,418755,2010-09,96,133
naveedtariq,https://github.com/naveedtariq,384665,2010-09,16,617
saltim,https://github.com/saltim,420264,2010-09,0,0
blacksmoke26,https://github.com/blacksmoke26,425744,2010-10,54,3249
profmuhammadjabbar,https://github.com/profmuhammadjabbar,449586,2010-10,10,33
tigerclawn82,https://github.com/tigerclawn82,457518,2010-10,15,1368
waqasalieee,https://github.com/waqasalieee,449566,2010-10,3,9
waqasm86,https://github.com/waqasm86,479827,2010-11,161,211
hassaniftikhar,https://github.com/hassaniftikhar,469748,2010-11,13,395
maxpaynestory,https://github.com/maxpaynestory,462460,2010-11,34,221
qasimsqm,https://github.com/qasimsqm,464520,2010-11,20,6
semanticnotion,https://github.com/semanticnotion,496009,2010-11,1,2
