Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits,sector_id,sector_label
iFadey,https://github.com/iFadey,183519,2010-01,10,45,0,2010–2017
whizpool,https://github.com/whizpool,195207,2010-02,14,264,0,2010–2017
visiosoft,https://github.com/visiosoft,237692,2010-04,62,1836,0,2010–2017
salmanulhaq,https://github.com/salmanulhaq,273014,2010-05,17,43,0,2010–2017
Javaid,https://github.com/Javaid,313539,2010-06,26,139,0,2010–2017
shoaibnawaz,https://github.com/shoaibnawaz,316389,2010-06,19,17,0,2010–2017
AnnuN,https://github.com/AnnuN,338166,2010-07,18,26,0,2010–2017
jawadabbass,https://github.com/jawadabbass,359515,2010-08,6,56,0,2010–2017
ch3ckmat3,https://github.com/ch3ckmat3,362814,2010-08,14,16,0,2010–2017
Waleedzkhan,https://github.com/Waleedzkhan,403886,2010-09,22,30,0,2010–2017
fahdi,https://github.com/fahdi,434134,2010-10,314,709,0,2010–2017
awakeel,https://github.com/awakeel,535570,2010-12,68,252,0,2010–2017
samiujan,https://github.com/samiujan,511368,2010-12,43,110,0,2010–2017
chall3ng3r,https://github.com/chall3ng3r,529419,2010-12,17,105,0,2010–2017
m-umer-farooq,https://github.com/m-umer-farooq,621476,2011-02,19,226,0,2010–2017
qadir0108,https://github.com/qadir0108,677058,2011-03,68,486,0,2010–2017
mrkkhattak,https://github.com/mrkkhattak,687774,2011-03,16,187,0,2010–2017
kingsatti,https://github.com/kingsatti,692414,2011-03,13,52,0,2010–2017
harissarwar,https://github.com/harissarwar,693246,2011-03,24,18,0,2010–2017
junaidp,https://github.com/junaidp,747843,2011-04,107,1106,0,2010–2017
shaan360,https://github.com/shaan360,803938,2011-05,415,362,0,2010–2017
kamranshahzad,https://github.com/kamranshahzad,773620,2011-05,17,178,0,2010–2017
aasif,https://github.com/aasif,1006414,2011-08,8,106,0,2010–2017
irfanahm3d,https://github.com/irfanahm3d,1006830,2011-08,10,83,0,2010–2017
sadafrasheed,https://github.com/sadafrasheed,1001302,2011-08,11,35,0,2010–2017
anaspk,https://github.com/anaspk,1071973,2011-09,23,149,0,2010–2017
zahoorkhan,https://github.com/zahoorkhan,1137544,2011-10,9,89,0,2010–2017
kiranali,https://github.com/kiranali,1225950,2011-11,19,49,0,2010–2017
zamd,https://github.com/zamd,1377205,2012-01,101,778,0,2010–2017
assadvirgo,https://github.com/assadvirgo,1374374,2012-01,31,503,0,2010–2017
rathoreahsan,https://github.com/rathoreahsan,1388743,2012-01,7,63,0,2010–2017
abdulaleem313,https://github.com/abdulaleem313,1485940,2012-02,29,191,0,2010–2017
iamimran,https://github.com/iamimran,1425997,2012-02,31,144,0,2010–2017
atifsaeed14,https://github.com/atifsaeed14,1452857,2012-02,12,96,0,2010–2017
ahmad-luqman,https://github.com/ahmad-luqman,1522464,2012-03,82,918,0,2010–2017
shaghab,https://github.com/shaghab,1546339,2012-03,27,860,0,2010–2017
professorhaseeb,https://github.com/professorhaseeb,1492888,2012-03,73,114,0,2010–2017
SiddiqueAhmad,https://github.com/SiddiqueAhmad,1517075,2012-03,55,89,0,2010–2017
mkadeel,https://github.com/mkadeel,1554077,2012-03,10,46,0,2010–2017
yasiralijaved,https://github.com/yasiralijaved,1651426,2012-04,37,157,0,2010–2017
AliSherKashif,https://github.com/AliSherKashif,1741792,2012-05,14,186,0,2010–2017
imranashraf,https://github.com/imranashraf,1899376,2012-06,129,476,0,2010–2017
naveedanjum,https://github.com/naveedanjum,1901664,2012-06,26,68,0,2010–2017
alijamal14,https://github.com/alijamal14,2056312,2012-07,23,6309,0,2010–2017
ahmadalibaloch,https://github.com/ahmadalibaloch,1916642,2012-07,39,983,0,2010–2017
saqibrazzaq,https://github.com/saqibrazzaq,1948021,2012-07,25,434,0,2010–2017
alleey,https://github.com/alleey,2000085,2012-07,10,116,0,2010–2017
haiderktk,https://github.com/haiderktk,2012409,2012-07,10,50,0,2010–2017
atiffarrukh,https://github.com/atiffarrukh,1938333,2012-07,14,20,0,2010–2017
talentedaamer,https://github.com/talentedaamer,2241691,2012-08,47,326,0,2010–2017
moinism,https://github.com/moinism,2242528,2012-08,16,143,0,2010–2017
wajihullahbaig,https://github.com/wajihullahbaig,2294224,2012-09,54,657,0,2010–2017
qaavi,https://github.com/qaavi,2408213,2012-09,186,171,0,2010–2017
uziiuzair,https://github.com/uziiuzair,2352977,2012-09,21,82,0,2010–2017
bilalmughal,https://github.com/bilalmughal,2370808,2012-09,15,47,0,2010–2017
