Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits,sector_id,sector_label
rizwany,https://github.com/rizwany,184817,2010-01,8,37,0,2010–2016
mshoaib,https://github.com/mshoaib,177894,2010-01,14,23,0,2010–2016
maamir,https://github.com/maamir,210528,2010-02,14,145,0,2010–2016
hamdan,https://github.com/hamdan,248775,2010-04,18,78,0,2010–2016
jawwadalam2002,https://github.com/jawwadalam2002,246739,2010-04,14,25,0,2010–2016
snkhan120,https://github.com/snkhan120,285439,2010-05,43,345,0,2010–2016
saadrehman,https://github.com/saadrehman,338472,2010-07,42,40,0,2010–2016
arfeen,https://github.com/arfeen,441804,2010-10,14,30,0,2010–2016
Shaz3e,https://github.com/Shaz3e,526602,2010-12,97,1752,0,2010–2016
moyed,https://github.com/moyed,518801,2010-12,19,88,0,2010–2016
mrkkhattak,https://github.com/mrkkhattak,687774,2011-03,17,222,0,2010–2016
akifraza,https://github.com/akifraza,666731,2011-03,18,59,0,2010–2016
halfbug,https://github.com/halfbug,748321,2011-04,92,4443,0,2010–2016
raomohsinkhan,https://github.com/raomohsinkhan,811377,2011-05,16,586,0,2010–2016
naveedpash,https://github.com/naveedpash,879490,2011-06,34,4156,0,2010–2016
icemelt7,https://github.com/icemelt7,878042,2011-06,14,178,0,2010–2016
faizulhaque,https://github.com/faizulhaque,836298,2011-06,53,32,0,2010–2016
haisum,https://github.com/haisum,911409,2011-07,60,1479,0,2010–2016
php-minister,https://github.com/php-minister,920609,2011-07,10,540,0,2010–2016
mashhoodr,https://github.com/mashhoodr,890800,2011-07,43,266,0,2010–2016
wahajali,https://github.com/wahajali,894764,2011-07,22,40,0,2010–2016
manshoor,https://github.com/manshoor,966957,2011-08,28,51,0,2010–2016
justnajm,https://github.com/justnajm,1032144,2011-09,24,83,0,2010–2016
Abdul-Rahman,https://github.com/Abdul-Rahman,1142080,2011-10,18,155,0,2010–2016
sufyankhan,https://github.com/sufyankhan,1107574,2011-10,21,114,0,2010–2016
raheelshan,https://github.com/raheelshan,1201745,2011-11,98,117,0,2010–2016
mohammed52,https://github.com/mohammed52,1243755,2011-12,33,4232,0,2010–2016
jawaidakhter,https://github.com/jawaidakhter,1271330,2011-12,19,43,0,2010–2016
mmmovania,https://github.com/mmmovania,1354859,2012-01,65,1410,0,2010–2016
rafayali,https://github.com/rafayali,1373965,2012-01,9,346,0,2010–2016
shakirmengrani,https://github.com/shakirmengrani,1317909,2012-01,83,329,0,2010–2016
hussainmuzzamil,https://github.com/hussainmuzzamil,1318199,2012-01,57,208,0,2010–2016
talib570,https://github.com/talib570,1312325,2012-01,45,102,0,2010–2016
kashifrehmanarain,https://github.com/kashifrehmanarain,1313308,2012-01,37,78,0,2010–2016
smshahrukh,https://github.com/smshahrukh,1366929,2012-01,24,46,0,2010–2016
arifansari,https://github.com/arifansari,1378943,2012-01,14,31,0,2010–2016
webwizo,https://github.com/webwizo,1593953,2012-03,54,165,0,2010–2016
ashokekumar,https://github.com/ashokekumar,1584355,2012-03,21,46,0,2010–2016
shaheerakhlaq,https://github.com/shaheerakhlaq,1546790,2012-03,7,39,0,2010–2016
srehanuddin,https://github.com/srehanuddin,1668868,2012-04,62,420,0,2010–2016
zaidpirwani,https://github.com/zaidpirwani,1651976,2012-04,72,157,0,2010–2016
m-saifuddin,https://github.com/m-saifuddin,1644046,2012-04,9,56,0,2010–2016
whsheikh101,https://github.com/whsheikh101,1682527,2012-04,8,30,0,2010–2016
firdousali86,https://github.com/firdousali86,1745827,2012-05,70,626,0,2010–2016
mahmoodayaz7,https://github.com/mahmoodayaz7,1766248,2012-05,82,460,0,2010–2016
AffanHasan,https://github.com/AffanHasan,1730485,2012-05,46,346,0,2010–2016
aubykhan,https://github.com/aubykhan,1756496,2012-05,37,142,0,2010–2016
