Username,Profile URL,GitHub ID,Year_Group,Public_Repositories,Lifetime_Commits,sector_id,sector_label
itsaboutcode,https://github.com/itsaboutcode,204423,2010-02,112,384,0,2010–2016
yunas,https://github.com/yunas,213712,2010-03,22,250,0,2010–2016
heyyan,https://github.com/heyyan,245355,2010-04,15,81,0,2010–2016
aftabnabi,https://github.com/aftabnabi,261592,2010-05,26,230,0,2010–2016
syedmurtaza,https://github.com/syedmurtaza,272100,2010-05,12,34,0,2010–2016
asifhameed,https://github.com/asifhameed,317149,2010-06,6,28,0,2010–2016
mahhek,https://github.com/mahhek,342844,2010-07,17,1052,0,2010–2016
taimur38,https://github.com/taimur38,362296,2010-08,43,862,0,2010–2016
saqibsarwar,https://github.com/saqibsarwar,358233,2010-08,6,51,0,2010–2016
naveedtariq,https://github.com/naveedtariq,384665,2010-09,16,617,0,2010–2016
shahzadmasud,https://github.com/shahzadmasud,390286,2010-09,28,178,0,2010–2016
mhsnalm,https://github.com/mhsnalm,418755,2010-09,96,133,0,2010–2016
blacksmoke26,https://github.com/blacksmoke26,425744,2010-10,54,3249,0,2010–2016
tigerclawn82,https://github.com/tigerclawn82,457518,2010-10,15,1368,0,2010–2016
profmuhammadjabbar,https://github.com/profmuhammadjabbar,449586,2010-10,10,33,0,2010–2016
hassaniftikhar,https://github.com/hassaniftikhar,469748,2010-11,13,395,0,2010–2016
maxpaynestory,https://github.com/maxpaynestory,462460,2010-11,34,221,0,2010–2016
waqasm86,https://github.com/waqasm86,479827,2010-11,161,211,0,2010–2016
umayrh,https://github.com/umayrh,525221,2010-12,39,588,0,2010–2016
appsdevpk,https://github.com/appsdevpk,516860,2010-12,12,22,0,2010–2016
sustaintopervail,https://github.com/sustaintopervail,585167,2011-01,9,30,0,2010–2016
UsmanMalik,https://github.com/UsmanMalik,552152,2011-01,62,26,0,2010–2016
aijazali12,https://github.com/aijazali12,604537,2011-02,18,119,0,2010–2016
naveed-ahmad,https://github.com/naveed-ahmad,701567,2011-03,260,5469,0,2010–2016
ZubairNabi,https://github.com/ZubairNabi,652955,2011-03,15,276,0,2010–2016
WaqarZahour,https://github.com/WaqarZahour,653014,2011-03,10,108,0,2010–2016
